model,pk,sub_category,name,vendor,slug
category.fourth_level_category,179,435,Salads Vegetables,1,salads-vegetables
category.fourth_level_category,180,435,Pre-cut & Assorted Vegetable Set,1,pre-cut-&-assorted-vegetable-set
category.fourth_level_category,181,435,Others,1,others
category.fourth_level_category,182,436,Apples & Pears,1,apples-&-pears
category.fourth_level_category,183,436,Bananas,1,bananas
category.fourth_level_category,184,436,Berries,1,berries
category.fourth_level_category,185,436,Citrus,1,citrus
category.fourth_level_category,186,436,Grapes,1,grapes
category.fourth_level_category,187,436,Melons,1,melons
category.fourth_level_category,188,436,Stonefruits,1,stonefruits
category.fourth_level_category,189,436,Tropical & Exotic Fruits,1,tropical-&-exotic-fruits
category.fourth_level_category,190,436,Pre-cut & Assorted Fruit Set,1,pre-cut-&-assorted-fruit-set
category.fourth_level_category,191,436,Others,1,others
category.fourth_level_category,192,462,Dog & Cat Toys,1,dog-&-cat-toys
category.fourth_level_category,193,462,Small Pet Toys,1,small-pet-toys
category.fourth_level_category,194,462,Bird Toys,1,bird-toys
category.fourth_level_category,195,462,Others,1,others
category.fourth_level_category,196,463,Beds & Mats,1,beds-&-mats
category.fourth_level_category,197,463,Houses,1,houses
category.fourth_level_category,198,463,Habitats & Accessories,1,habitats-&-accessories
category.fourth_level_category,199,463,Cages & Crates,1,cages-&-crates
category.fourth_level_category,200,463,Scratching Pads & Posts,1,scratching-pads-&-posts
category.fourth_level_category,201,463,Others,1,others
category.fourth_level_category,202,496,Bottle Cooler Bag,1,bottle-cooler-bag
category.fourth_level_category,203,496,Bottles & Bottle accessories,1,bottles-&-bottle-accessories
category.fourth_level_category,204,496,Bottle Cleansing,1,bottle-cleansing
category.fourth_level_category,205,496,Warmers,1,warmers
category.fourth_level_category,206,496,Sterilizers,1,sterilizers
category.fourth_level_category,207,496,Others,1,others
category.fourth_level_category,208,497,Breast Pump & Accessories,1,breast-pump-&-accessories
category.fourth_level_category,209,497,"Breast Pads, Shells & Shields",1,breast-pads-shells-&-shields
category.fourth_level_category,210,497,Nursing Covers,1,nursing-covers
category.fourth_level_category,211,497,Breastmilk Storage Bags,1,breastmilk-storage-bags
category.fourth_level_category,212,497,Others,1,others
category.fourth_level_category,213,499,Baby Cups,1,baby-cups
category.fourth_level_category,214,499,Baby Tableware,1,baby-tableware
category.fourth_level_category,215,499,Baby Food Containers,1,baby-food-containers
category.fourth_level_category,216,499,Others,1,others
category.fourth_level_category,217,524,Blankets & Wrappers,1,blankets-&-wrappers
category.fourth_level_category,218,524,Pillows & Bolsters,1,pillows-&-bolsters
category.fourth_level_category,219,524,Bedsheets,1,bedsheets
category.fourth_level_category,220,524,Others,1,others
category.fourth_level_category,221,540,Lotion & Creams,1,lotion-&-creams
category.fourth_level_category,222,540,Oils,1,oils
category.fourth_level_category,223,540,Powders,1,powders
category.fourth_level_category,224,540,Others,1,others
category.fourth_level_category,225,549,Playgym & Playmats,1,playgym-&-playmats
category.fourth_level_category,226,549,Playards & Playpens,1,playards-&-playpens
category.fourth_level_category,227,549,Bath Toys,1,bath-toys
category.fourth_level_category,228,549,Crib Mobiles & Rattles,1,crib-mobiles-&-rattles
category.fourth_level_category,229,549,Teethers,1,teethers
category.fourth_level_category,230,549,Others,1,others
category.fourth_level_category,231,551,Dolls & Accessories,1,dolls-&-accessories
category.fourth_level_category,232,551,Doll Houses & Accessories,1,doll-houses-&-accessories
category.fourth_level_category,233,551,Stuffed Toys,1,stuffed-toys
category.fourth_level_category,234,551,Others,1,others
category.fourth_level_category,235,554,"Bicycles, Scooters & Ride-ons",1,bicycles-scooters-&-ride-ons
category.fourth_level_category,236,554,Inflatables & Slides,1,inflatables-&-slides
category.fourth_level_category,237,554,"Play Tents, Tunnels & Ball Pits",1,play-tents-tunnels-&-ball-pits
category.fourth_level_category,238,554,"Pool, Water & Sand Toys",1,pool-water-&-sand-toys
category.fourth_level_category,239,554,Blasters & Toy Guns,1,blasters-&-toy-guns
category.fourth_level_category,240,554,Sports Toys,1,sports-toys
category.fourth_level_category,241,554,"Flying Toys, Kites & Wind Spinners",1,flying-toys-kites-&-wind-spinners
category.fourth_level_category,242,554,Others,1,others
category.fourth_level_category,243,555,Arts & Crafts,1,arts-&-crafts
category.fourth_level_category,244,555,Math Toys,1,math-toys
category.fourth_level_category,245,555,Science & Tech Toys,1,science-&-tech-toys
category.fourth_level_category,246,555,Shape Sorters,1,shape-sorters
